id;type;maximum_withdrawal_amount;commission_of_other_bank;commission_of_this_bank;amount_for_notification;address
1;HUMO;99422;21546;60313;76212;Investment
2;VISA;39273;29441;8851;44612;Diverse calculating Loan
3;HUMO;76458;13562;45958;57311;technologies Marketing
4;VISA;30357;21774;51359;41272;Wooden Dynamic
5;UZCARD;21595;82922;99398;58303;Birr orchestration
6;UZCARD;89541;97572;87337;84081;deposit project Idaho
7;HUMO;44998;25295;92824;34085;Palladium
8;UZCARD;14995;90886;24659;79356;next-generation Data
9;UZCARD;38500;35299;79824;60777;Nakfa
10;VISA;51316;49140;63568;54202;green platforms Auto
